application_id,family_id,applicant_name,age,gender,state,district,village,tribe,community_category,is_scheduled_tribe,years_in_forest_area,caste_certificate,id_proofs,residence_proofs,dependence_proofs,gram_sabha_resolution,family_size,dependents,land_area_requested_acres,land_type,has_previous_claim,document_completeness,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,application_date,application_status,gram_sabha_date,frc_recommendation,latitude,longitude,created_timestamp,last_updated
FRA-2025-000022,FAM-D57A2F2E,Ramesh Yadav,62,Male,Maharashtra,Koraput,Village_11,Munda,ST,True,9,True,Ration Card|Aadhaar,Ration Card,,True,5,0,1.41,Community Forest Resource,False,Community Testimony,0.735,0.94,0.111,2025-05-27,Under Review,2025-06-13,Rejected,21.315352,86.998802,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000023,FAM-0F12A9D1,Raman Kumar,26,Male,Chhattisgarh,Rayagada,Village_3,Ho,ST,True,10,True,Voter ID|Aadhaar,Electricity Bill,,True,3,2,2.84,Water Bodies,False,Medical Certificate Alternative,0.88,0.883,0.067,2025-02-25,Pending - Gram Sabha,2025-04-07,Approved,21.629478,86.075533,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000024,FAM-8D64A090,Seeta Sharma,70,Female,Chhattisgarh,Koraput,Village_76,Gond,ST,True,7,True,PAN|Ration Card,Gram Sabha Cert,,True,5,3,3.32,Water Bodies,False,Community Testimony,0.813,0.831,0.028,2025-06-01,Pending - Gram Sabha,2025-07-13,Approved,20.468187,78.708445,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000025,FAM-0FBBF831,Anita Kumari,52,Female,Chhattisgarh,Dantewada,Village_84,Santhal,OTFD,False,115,False,Ration Card|Voter ID,Electricity Bill,Gram Sabha Cert|Land Record,True,5,2,1.44,Habitation,False,Complete,0.712,0.725,0.3,2025-07-11,Pending - Gram Sabha,2025-07-26,Approved,20.900399,78.612725,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000026,FAM-6D32B509,Rita Gupta,69,Female,Jharkhand,Dantewada,Village_2,Ho,ST,True,13,True,Aadhaar|Ration Card,Gram Sabha Cert,,True,7,1,1.92,Water Bodies,False,Medical Certificate Alternative,0.858,0.745,0.317,2025-05-08,Approved,2025-06-04,Approved with Conditions,22.31168,78.797266,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000027,FAM-68287595,Seeta Sharma,60,Female,Jharkhand,Kandhamal,Village_90,Munda,ST,True,18,True,PAN|Voter ID,Ration Card,,True,2,1,0.92,Habitation,False,Partial,0.677,0.869,0.111,2025-09-20,Pending - Gram Sabha,2025-10-14,Approved with Conditions,18.819865,76.33274,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000028,FAM-5FEE357D,Mahesh Singh,27,Male,Odisha,Dantewada,Village_38,Gond,ST,True,41,True,Ration Card|Aadhaar,Ration Card,,True,5,3,2.51,Grazing,False,Community Testimony,0.674,0.526,0.376,2025-02-27,Under Review,2025-03-16,Approved,21.616169,82.923863,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000029,FAM-89D8B42A,Sunita Devi,40,Female,Odisha,Dantewada,Village_98,Munda,ST,True,39,True,Voter ID|PAN,Electricity Bill,,True,7,1,2.08,Grazing,False,Medical Certificate Alternative,0.722,0.811,0.244,2025-02-25,Pending - Gram Sabha,2025-03-18,Approved with Conditions,22.283425,76.041742,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000030,FAM-41F7282E,Suresh Prasad,25,Male,Madhya Pradesh,Bastar,Village_89,Ho,ST,True,31,True,PAN|Aadhaar,Ration Card,,True,6,1,1.51,Community Forest Resource,False,Medical Certificate Alternative,0.628,0.617,0.106,2025-04-14,Pending - Gram Sabha,2025-05-02,Rejected,18.191915,77.453222,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000031,FAM-A121583A,Suresh Prasad,44,Male,Maharashtra,Dantewada,Village_37,Munda,ST,True,8,True,Ration Card|PAN,Electricity Bill,,True,2,0,2.95,Community Forest Resource,False,Medical Certificate Alternative,0.775,0.799,0.356,2025-06-20,Pending - Gram Sabha,2025-07-13,Approved,24.695289,84.867462,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000032,FAM-A13F3DE6,Mahesh Singh,61,Male,Odisha,Rayagada,Village_61,Ho,ST,True,42,True,Ration Card|Voter ID,Ration Card,,True,4,3,3.99,Grazing,False,Medical Certificate Alternative,0.988,0.735,0.163,2025-02-28,Under Review,2025-03-20,Rejected,20.963752,82.613586,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000033,FAM-FBBD560C,Ramesh Yadav,30,Male,Jharkhand,Kandhamal,Village_42,Kondh,ST,True,50,True,Ration Card|PAN,Ration Card,,True,3,2,2.8,Water Bodies,False,Complete,0.675,0.681,0.303,2025-08-25,Pending - Gram Sabha,2025-09-10,Rejected,18.048106,77.744379,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000034,FAM-048D8923,Sunita Devi,26,Female,Andhra Pradesh,Dantewada,Village_31,Gond,OTFD,False,95,False,Aadhaar|PAN,Electricity Bill,Old Ration Card|School Cert,True,5,3,3.97,Agricultural,False,Complete,0.859,0.577,0.373,2025-09-23,Under Review,2025-10-16,Approved with Conditions,18.949847,81.166446,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000035,FAM-21FAE166,Raman Kumar,42,Male,Madhya Pradesh,Kandhamal,Village_65,Santhal,ST,True,1,True,PAN|Ration Card,Electricity Bill,,True,5,3,3.43,Water Bodies,False,Medical Certificate Alternative,0.946,0.723,0.194,2025-09-25,Under Review,2025-10-27,Approved with Conditions,23.956813,86.75007,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000036,FAM-AD5D390E,Anita Kumari,51,Female,Odisha,Kandhamal,Village_96,Munda,ST,True,46,True,Ration Card|Voter ID,Gram Sabha Cert,,True,5,0,3.27,Habitation,False,Complete,0.65,0.983,0.133,2025-08-04,Approved,2025-09-04,Rejected,18.153243,85.322129,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000037,FAM-141421CC,Ramesh Yadav,41,Male,Jharkhand,Dantewada,Village_89,Munda,OTFD,False,117,False,Aadhaar|Voter ID,Gram Sabha Cert,Land Record|Voter List,True,5,0,3.84,Grazing,False,Complete,0.847,0.617,0.274,2025-04-24,Under Review,2025-05-11,Rejected,22.631127,75.306594,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000038,FAM-13C981D3,Sunita Devi,27,Female,Jharkhand,Koraput,Village_38,Santhal,ST,True,24,True,Ration Card|Aadhaar,Ration Card,,True,6,1,2.36,Water Bodies,False,Partial,0.668,0.539,0.348,2025-04-16,Pending - Gram Sabha,2025-05-30,Approved,20.689199,77.301705,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000039,FAM-41F8910D,Ramesh Yadav,43,Male,Andhra Pradesh,Dantewada,Village_21,Kondh,ST,True,29,True,PAN|Ration Card,Electricity Bill,,True,6,2,2.74,Grazing,False,Medical Certificate Alternative,0.938,0.6,0.154,2025-02-08,Under Review,2025-03-07,Rejected,19.366979,83.090628,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000040,FAM-34CE91AB,Geeta Singh,25,Female,Maharashtra,Koraput,Village_78,Munda,ST,True,19,True,Voter ID|PAN,Electricity Bill,,True,4,1,1.27,Habitation,False,Partial,0.851,0.952,0.259,2025-08-02,Under Review,2025-09-04,Approved,24.277022,78.247349,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000041,FAM-C615FA9D,Suresh Prasad,59,Male,Jharkhand,Dantewada,Village_65,Santhal,ST,True,11,True,PAN|Voter ID,Electricity Bill,,True,6,2,3.11,Community Forest Resource,False,Medical Certificate Alternative,0.985,0.57,0.387,2025-07-28,Pending - Gram Sabha,2025-09-06,Approved,23.325456,74.180943,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000042,FAM-4E6C0569,Geeta Singh,68,Female,Andhra Pradesh,Kandhamal,Village_75,Munda,ST,True,41,True,PAN|Aadhaar,Gram Sabha Cert,,True,2,1,1.32,Agricultural,False,Community Testimony,0.966,0.611,0.025,2025-05-21,Under Review,2025-06-18,Approved,24.570092,77.95674,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000043,FAM-BB859E74,Suresh Prasad,59,Male,Chhattisgarh,Bastar,Village_59,Santhal,ST,True,43,True,Ration Card|PAN,Gram Sabha Cert,,True,5,1,3.04,Grazing,False,Medical Certificate Alternative,0.846,0.97,0.112,2025-06-07,Pending - Gram Sabha,2025-07-06,Approved with Conditions,17.794837,82.913843,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000044,FAM-8E4902FE,Sunita Devi,50,Female,Jharkhand,Rayagada,Village_16,Munda,ST,True,6,True,Voter ID|PAN,Gram Sabha Cert,,True,6,1,2.59,Agricultural,True,Community Testimony,0.697,0.563,0.226,2025-02-27,Rejected - Multiple Claims,2025-04-07,Rejected,18.727611,85.306041,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000045,FAM-8850349B,Rakesh Sharma,25,Male,Jharkhand,Rayagada,Village_17,Ho,ST,True,17,True,Voter ID|Aadhaar,Gram Sabha Cert,,True,6,0,3.53,Habitation,True,Partial,0.836,0.508,0.106,2025-03-24,Rejected - Multiple Claims,2025-04-21,Rejected,17.508464,79.827578,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000046,FAM-320482F1,Ramesh Yadav,57,Male,Chhattisgarh,Dantewada,Village_6,Ho,ST,True,20,True,Ration Card|PAN,Ration Card,,True,3,0,0.71,Grazing,False,Medical Certificate Alternative,0.874,0.745,0.364,2025-02-11,Approved,2025-03-17,Approved,19.200128,82.229997,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000047,FAM-A4A988DC,Seeta Sharma,63,Female,Maharashtra,Kandhamal,Village_59,Ho,ST,True,39,True,Ration Card|Aadhaar,Gram Sabha Cert,,True,2,2,0.9,Water Bodies,False,Partial,0.772,0.944,0.166,2025-07-14,Under Review,2025-08-21,Approved with Conditions,19.500189,77.313567,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000048,FAM-39F1A113,Sunita Devi,30,Female,Odisha,Koraput,Village_56,Kondh,OTFD,False,99,False,Voter ID|PAN,Ration Card,Land Record|Gram Sabha Cert,True,6,4,2.47,Agricultural,False,Medical Certificate Alternative,0.947,0.861,0.387,2025-05-12,Pending - Gram Sabha,2025-05-30,Approved,18.237841,80.268462,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000049,FAM-9D5C4CB2,Rita Gupta,48,Female,Odisha,Kandhamal,Village_74,Gond,OTFD,False,103,False,Aadhaar|PAN,Gram Sabha Cert,Gram Sabha Cert|Medical Record,True,7,0,0.6,Community Forest Resource,False,Community Testimony,0.969,0.676,0.073,2025-07-03,Approved,2025-07-22,Approved,22.968894,76.796727,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000050,FAM-44580C91,Anita Kumari,48,Female,Jharkhand,Kandhamal,Village_100,Ho,ST,True,39,True,Aadhaar|Ration Card,Ration Card,,True,3,4,1.05,Water Bodies,True,Complete,0.709,0.831,0.194,2025-08-14,Rejected - Multiple Claims,2025-09-06,Approved,19.761383,75.441567,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000051,FAM-11BB0AEA,Rita Gupta,67,Female,Jharkhand,Koraput,Village_29,Munda,OTFD,False,114,False,Aadhaar|Ration Card,Ration Card,Medical Record|School Cert,True,6,4,3.19,Community Forest Resource,False,Complete,0.603,0.874,0.07,2025-09-23,Under Review,2025-10-15,Rejected,23.449601,74.936981,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000052,FAM-676B0EEB,Ramesh Yadav,26,Male,Madhya Pradesh,Koraput,Village_41,Ho,OTFD,False,103,False,Ration Card|PAN,Gram Sabha Cert,Voter List|Medical Record,True,2,1,0.9,Agricultural,False,Partial,0.921,0.809,0.333,2025-02-14,Under Review,2025-03-28,Approved with Conditions,21.71097,80.811513,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000053,FAM-A8D1F2F7,Geeta Singh,39,Female,Jharkhand,Rayagada,Village_10,Ho,ST,True,41,True,Aadhaar|PAN,Gram Sabha Cert,,True,7,0,1.18,Community Forest Resource,False,Partial,0.695,0.573,0.079,2025-03-25,Pending - Gram Sabha,2025-05-03,Approved,24.610337,82.163334,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000054,FAM-0FE40297,Rita Gupta,66,Female,Andhra Pradesh,Dantewada,Village_42,Santhal,ST,True,10,True,Ration Card|Aadhaar,Electricity Bill,,True,4,0,2.05,Community Forest Resource,False,Complete,0.741,0.537,0.185,2025-01-12,Approved,2025-02-22,Rejected,23.914,85.118814,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000055,FAM-08E95DF5,Seeta Sharma,62,Female,Maharashtra,Koraput,Village_58,Ho,OTFD,False,117,False,Voter ID|Ration Card,Gram Sabha Cert,Voter List|Land Record,True,5,4,1.03,Agricultural,False,Community Testimony,0.993,0.542,0.258,2025-04-23,Approved,2025-05-22,Rejected,21.878443,78.730673,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000056,FAM-50DAABF1,Seeta Sharma,46,Female,Andhra Pradesh,Dantewada,Village_7,Santhal,OTFD,False,80,False,PAN|Aadhaar,Gram Sabha Cert,Gram Sabha Cert|Voter List,True,7,0,1.49,Water Bodies,False,Community Testimony,0.633,0.832,0.367,2025-07-05,Under Review,2025-08-08,Approved with Conditions,21.471377,82.365412,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000057,FAM-EB95CCC6,Rakesh Sharma,30,Male,Andhra Pradesh,Bastar,Village_66,Santhal,ST,True,2,True,PAN|Voter ID,Ration Card,,True,6,4,3.83,Community Forest Resource,False,Medical Certificate Alternative,0.677,1.0,0.062,2025-02-17,Under Review,2025-03-28,Approved,22.295434,85.393106,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000058,FAM-CE83317F,Anita Kumari,35,Female,Chhattisgarh,Dantewada,Village_22,Munda,OTFD,False,78,False,Ration Card|Voter ID,Gram Sabha Cert,Gram Sabha Cert|School Cert,True,6,3,3.89,Water Bodies,False,Medical Certificate Alternative,0.694,0.62,0.386,2025-04-12,Under Review,2025-05-18,Approved with Conditions,23.155508,84.115612,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000059,FAM-5E51D19D,Anita Kumari,37,Female,Maharashtra,Rayagada,Village_33,Kondh,ST,True,42,True,Ration Card|Voter ID,Gram Sabha Cert,,True,2,1,3.77,Water Bodies,False,Community Testimony,0.634,0.58,0.18,2025-03-27,Pending - Gram Sabha,2025-04-24,Approved with Conditions,24.077038,86.096135,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000060,FAM-E3089C24,Rita Gupta,48,Female,Chhattisgarh,Bastar,Village_11,Santhal,ST,True,15,True,Aadhaar|Voter ID,Ration Card,,True,2,0,3.44,Community Forest Resource,False,Partial,0.615,0.959,0.189,2025-08-15,Approved,2025-09-18,Approved,19.047391,84.85452,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000061,FAM-7F93B9F4,Sunita Devi,43,Female,Chhattisgarh,Kandhamal,Village_16,Kondh,ST,True,16,True,Ration Card|PAN,Gram Sabha Cert,,True,2,4,2.1,Agricultural,False,Medical Certificate Alternative,0.839,0.508,0.206,2025-03-10,Approved,2025-04-07,Approved with Conditions,18.924514,79.415379,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000062,FAM-C45A420A,Rakesh Sharma,48,Male,Odisha,Dantewada,Village_70,Ho,OTFD,False,108,False,Aadhaar|Voter ID,Electricity Bill,Old Ration Card|Voter List,True,7,2,3.93,Community Forest Resource,False,Community Testimony,0.915,0.672,0.293,2025-02-25,Pending - Gram Sabha,2025-03-30,Approved,17.354686,81.098179,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000063,FAM-1D6F85EF,Ramesh Yadav,69,Male,Madhya Pradesh,Rayagada,Village_18,Kondh,OTFD,False,105,False,Aadhaar|Voter ID,Ration Card,Old Ration Card|School Cert,True,8,0,3.6,Community Forest Resource,False,Medical Certificate Alternative,0.996,0.772,0.101,2025-04-10,Pending - Gram Sabha,2025-05-06,Rejected,19.655397,75.618175,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000064,FAM-BBCEC849,Seeta Sharma,49,Female,Jharkhand,Rayagada,Village_64,Munda,ST,True,24,True,PAN|Aadhaar,Gram Sabha Cert,,True,6,3,1.99,Grazing,False,Partial,0.818,0.661,0.032,2025-05-10,Pending - Gram Sabha,2025-06-08,Approved,22.518118,78.570111,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000065,FAM-CA0508BC,Rita Gupta,52,Female,Jharkhand,Koraput,Village_10,Munda,ST,True,24,True,Voter ID|Aadhaar,Ration Card,,True,7,3,3.47,Grazing,True,Complete,0.694,0.823,0.145,2025-01-20,Rejected - Multiple Claims,2025-02-08,Approved with Conditions,19.976107,83.920098,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000066,FAM-94CE20FE,Seeta Sharma,45,Female,Andhra Pradesh,Kandhamal,Village_32,Kondh,ST,True,2,True,Voter ID|Ration Card,Gram Sabha Cert,,True,3,0,1.85,Water Bodies,False,Community Testimony,0.882,0.607,0.245,2025-08-07,Pending - Gram Sabha,2025-08-25,Approved with Conditions,18.381251,83.273809,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000067,FAM-4329F0DC,Geeta Singh,70,Female,Odisha,Dantewada,Village_70,Santhal,OTFD,False,95,False,Voter ID|PAN,Gram Sabha Cert,Gram Sabha Cert|School Cert,True,5,4,3.28,Water Bodies,False,Partial,0.917,0.618,0.198,2025-09-19,Under Review,2025-10-15,Approved,21.895587,75.120801,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000068,FAM-D4A22611,Rita Gupta,51,Female,Madhya Pradesh,Dantewada,Village_10,Gond,ST,True,21,True,Aadhaar|Voter ID,Electricity Bill,,True,4,1,2.88,Community Forest Resource,False,Partial,0.907,0.565,0.201,2025-02-17,Approved,2025-03-08,Approved,19.581286,83.221318,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000069,FAM-35E5ADB6,Sunita Devi,41,Female,Chhattisgarh,Dantewada,Village_36,Gond,ST,True,41,True,PAN|Ration Card,Gram Sabha Cert,,True,2,0,0.83,Habitation,False,Partial,0.668,0.812,0.361,2025-01-27,Under Review,2025-03-10,Approved,24.588375,84.023291,2025-09-06 06:35:24,2025-09-06 06:35:24
FRA-2025-000070,FAM-94CFB82C,Rakesh Sharma,51,Male,Maharashtra,Koraput,Village_64,Ho,ST,True,19,True,PAN|Voter ID,Ration Card,,True,3,2,3.32,Grazing,False,Complete,0.875,0.579,0.166,2025-04-11,Under Review,2025-05-15,Rejected,19.554531,86.844304,2025-09-06 06:35:24,2025-09-06 06:35:24
