application_id,family_id,aadhaar_id,applicant_name,age,gender,state,district,village,tribe,community_category,is_scheduled_tribe,family_size,dependents,land_area_requested_acres,land_type,has_previous_claim,has_aadhaar,has_community_proof,has_tribal_proof,has_medical_certificate,document_completeness,years_in_forest_area,occupation,annual_income,application_date,application_status,document_authenticity_score,eligibility_confidence_score,fraud_risk_score,gram_sabha_date,frc_recommendation,latitude,longitude,created_timestamp,last_updated
FRA-2025-000011,FAM-307C3EFC,5915-8491-6180,Applicant_11,29,Male,West Bengal,Gadchiroli,Village_73,Gond,ST,True,3,2,1.43,Community Forest Resource,False,True,True,True,False,Partial,34,Daily Labor,112214,2025-05-20,Pending - DLC,0.603,0.909,0.12,,,22.30711,86.20609,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000012,FAM-6BA7636A,3200-5333-2891,Applicant_12,31,Male,Maharashtra,Dantewada,Village_78,Munda,ST,True,7,5,3.49,Water Bodies,True,True,True,True,False,Community Testimony,46,Livestock Rearing,25778,2025-01-11,Rejected - Multiple Claims,0.908,0.819,0.105,,,22.929847,81.171845,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000013,FAM-350BCBBF,8007-1158-2832,Applicant_13,29,Male,Gujarat,Koraput,Village_48,Chenchu,OTFD,False,3,0,1.58,Agricultural,False,True,False,False,False,Partial,41,Farming,66357,2025-09-28,Pending - Community Verification,0.763,0.81,0.062,,,24.439048,85.239874,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000014,FAM-C91B2B57,,Applicant_14,36,Female,Telangana,Nandurbar,Village_95,Munda,ST,True,5,0,3.51,Habitation,False,False,True,True,True,Partial,20,Small Business,45313,2025-07-11,Pending - Gram Sabha,0.946,0.983,0.112,,,22.131854,79.195819,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000015,FAM-F8DD2F14,9785-6425-1452,Applicant_15,32,Female,Jharkhand,Gadchiroli,Village_34,Kondh,ST,True,5,2,3.05,Community Forest Resource,True,True,True,False,False,Partial,28,Farming,112901,2025-07-01,Rejected - Multiple Claims,0.808,0.903,0.275,,,24.522105,83.58149,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000016,FAM-E6D7F569,4228-6967-8066,Applicant_16,29,Female,Rajasthan,Ranchi,Village_85,Gond,OTFD,False,6,2,2.83,Community Forest Resource,True,True,False,False,False,Partial,26,Handicrafts,107153,2025-07-22,Rejected - Multiple Claims,0.899,0.587,0.228,,,20.248601,84.838427,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000017,FAM-416F6C03,5978-5700-4443,Applicant_17,52,Female,West Bengal,Mandla,Village_57,Bonda,OTFD,False,8,2,2.81,Community Forest Resource,False,True,True,False,False,Medical Certificate Alternative,27,Forest Produce Collection,39313,2025-01-02,Under Review,0.994,0.806,0.307,2025-01-31,Approved with Conditions,24.089095,81.483722,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000018,FAM-8F13AFA9,7291-9099-7547,Applicant_18,40,Male,Odisha,Rayagada,Village_100,Bhil,OTFD,False,2,0,3.71,Agricultural,True,True,True,False,False,Medical Certificate Alternative,50,Handicrafts,100301,2025-09-14,Rejected - Multiple Claims,0.932,0.774,0.359,,,22.949244,80.170768,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000019,FAM-19A20FA7,5246-5050-5543,Applicant_19,58,Female,Madhya Pradesh,Dantewada,Village_57,Gond,ST,True,4,2,1.62,Water Bodies,False,True,True,True,False,Community Testimony,42,Forest Produce Collection,112591,2025-04-03,Pending - SDLC,0.763,0.771,0.166,,,18.654675,79.461866,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000020,FAM-FA362486,,Applicant_20,25,Female,Maharashtra,Khunti,Village_54,Koya,ST,True,5,1,1.46,Grazing,False,False,True,False,False,Partial,46,Handicrafts,140526,2025-03-20,Pending - Document Verification,0.814,0.953,0.237,,,22.303998,75.091317,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000021,FAM-0E04D6E1,8022-3223-8564,Applicant_21,36,Male,Maharashtra,Khunti,Village_42,Munda,OTFD,False,8,6,1.47,Grazing,False,True,True,False,False,Complete,43,Daily Labor,26826,2025-06-08,Approved,0.912,0.826,0.302,2025-07-23,Approved,18.594885,74.26494,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000022,FAM-08C6A126,3496-4908-3068,Applicant_22,55,Male,Rajasthan,Bastar,Village_60,Dongria Kondh,OTFD,False,3,2,2.63,Agricultural,False,True,True,False,False,Complete,49,Livestock Rearing,95470,2025-07-13,Under Review,0.63,0.845,0.251,2025-07-31,Rejected,23.179847,85.053812,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000023,FAM-CA36AA2A,2983-1672-6688,Applicant_23,59,Female,Andhra Pradesh,Rayagada,Village_65,Bonda,OTFD,False,8,7,0.87,Community Forest Resource,True,True,True,False,False,Partial,43,Daily Labor,146546,2025-05-20,Rejected - Multiple Claims,0.923,0.769,0.193,,,20.484596,83.503341,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000024,FAM-05EC2EB2,,Applicant_24,30,Female,West Bengal,Bastar,Village_97,Warli,OTFD,False,4,0,2.23,Community Forest Resource,False,False,True,False,False,Medical Certificate Alternative,30,Livestock Rearing,135385,2025-05-18,Pending - Document Verification,0.604,0.974,0.034,,,22.760597,80.351512,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000025,FAM-AE650147,,Applicant_25,53,Male,Chhattisgarh,Dantewada,Village_29,Bhil,OTFD,False,7,4,1.79,Water Bodies,False,False,False,False,False,Medical Certificate Alternative,42,Handicrafts,55509,2025-05-09,Pending - Document Verification,0.692,0.861,0.126,,,22.943049,86.361408,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000026,FAM-0F13DF4C,4033-4138-4545,Applicant_26,55,Female,Rajasthan,Dindori,Village_77,Ho,ST,True,4,1,1.76,Community Forest Resource,False,True,True,True,False,Complete,37,Livestock Rearing,111411,2025-03-21,Pending - SDLC,0.641,0.506,0.114,,,20.829714,78.429177,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000027,FAM-EF9B012A,1841-5136-8827,Applicant_27,32,Male,Telangana,Mandla,Village_10,Chenchu,ST,True,3,0,3.34,Community Forest Resource,False,True,True,False,False,Community Testimony,39,Daily Labor,123643,2025-04-25,Pending - DLC,0.752,0.954,0.119,,,21.708201,79.574788,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000028,FAM-752AF80D,1986-2625-4404,Applicant_28,65,Male,Maharashtra,Nandurbar,Village_11,Santhal,ST,True,3,0,1.93,Water Bodies,True,True,True,True,False,Medical Certificate Alternative,42,Livestock Rearing,112141,2025-08-03,Rejected - Multiple Claims,0.875,0.962,0.315,,,22.000464,82.59538,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000029,FAM-1C771054,,Applicant_29,59,Male,Jharkhand,Dantewada,Village_19,Gond,ST,True,8,4,2.58,Water Bodies,False,False,True,True,False,Community Testimony,50,Livestock Rearing,85597,2025-09-16,Pending - Document Verification,0.775,0.799,0.356,,,22.876271,81.848277,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000030,FAM-E76C4754,1423-2496-4750,Applicant_30,68,Male,Maharashtra,Gadchiroli,Village_6,Santhal,OTFD,False,4,1,3.99,Grazing,True,True,True,False,False,Medical Certificate Alternative,33,Livestock Rearing,62081,2025-02-28,Rejected - Multiple Claims,0.664,0.706,0.198,,,22.300668,79.205879,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000031,FAM-0B7B52E4,1601-8451-2442,Applicant_31,45,Female,Andhra Pradesh,Rayagada,Village_99,Bhil,ST,True,7,6,2.4,Grazing,False,True,False,True,False,Community Testimony,40,Handicrafts,119613,2025-01-07,Pending - Gram Sabha,0.82,0.964,0.175,,,22.586,75.578539,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000032,FAM-20FDAAF8,4920-3594-6091,Applicant_32,60,Male,Gujarat,Khunti,Village_12,Munda,ST,True,5,0,2.77,Habitation,True,True,False,False,False,Medical Certificate Alternative,33,Handicrafts,148482,2025-08-08,Rejected - Multiple Claims,0.783,0.572,0.076,,,21.795021,83.701803,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000033,FAM-C031D09C,3236-2143-5526,Applicant_33,51,Female,Gujarat,Dantewada,Village_1,Ho,OTFD,False,8,2,2.06,Grazing,False,True,False,False,False,Community Testimony,34,Livestock Rearing,133980,2025-04-23,Pending - Community Verification,0.696,0.691,0.342,,,20.286201,78.136292,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000034,FAM-8DF8B127,,Applicant_34,67,Male,West Bengal,Koraput,Village_17,Koya,OTFD,False,8,1,3.56,Grazing,False,False,True,False,True,Community Testimony,47,Small Business,147134,2025-03-03,Pending - SDLC,0.913,0.633,0.249,,,20.179867,75.044099,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000035,FAM-251ACFFB,,Applicant_35,45,Female,Gujarat,Koraput,Village_80,Gond,OTFD,False,3,2,0.82,Agricultural,False,False,True,False,False,Complete,21,Livestock Rearing,124352,2025-01-10,Pending - Document Verification,0.743,0.715,0.098,,,20.296414,82.863405,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000036,FAM-C4B76519,3950-3785-3868,Applicant_36,30,Female,Rajasthan,Nandurbar,Village_31,Warli,ST,True,3,1,2.73,Grazing,False,True,True,True,False,Partial,22,Handicrafts,143893,2025-06-19,Pending - Gram Sabha,0.856,0.712,0.1,,,23.762431,76.589821,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000037,FAM-F3F783D4,,Applicant_37,40,Female,Rajasthan,Ranchi,Village_74,Ho,OTFD,False,2,1,1.46,Water Bodies,False,False,True,False,True,Medical Certificate Alternative,27,Small Business,44920,2025-05-22,Under Review,0.851,0.952,0.259,2025-06-15,Approved with Conditions,17.266916,78.743196,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000038,FAM-090F14DC,,Applicant_38,45,Female,Jharkhand,Bastar,Village_17,Koya,OTFD,False,6,4,3.7,Habitation,False,False,True,False,False,Complete,34,Farming,38449,2025-04-28,Pending - Document Verification,0.871,0.837,0.159,,,23.765956,81.245064,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000039,FAM-1466573E,2479-7464-1228,Applicant_39,41,Male,West Bengal,Ranchi,Village_87,Dongria Kondh,OTFD,False,8,5,0.88,Habitation,True,True,False,False,False,Medical Certificate Alternative,49,Daily Labor,49015,2025-02-21,Rejected - Multiple Claims,0.93,0.955,0.121,,,20.266367,75.817101,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000040,FAM-78CF7046,,Applicant_40,32,Male,Madhya Pradesh,Dindori,Village_18,Bhil,OTFD,False,6,5,3.04,Grazing,False,False,False,False,False,Medical Certificate Alternative,21,Small Business,68566,2025-04-15,Pending - Document Verification,0.778,0.618,0.145,,,24.847422,78.775354,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000041,FAM-7571F104,6876-1992-7523,Applicant_41,42,Male,Chhattisgarh,Mandla,Village_12,Bonda,ST,True,2,1,1.35,Habitation,False,True,False,True,False,Partial,46,Forest Produce Collection,63064,2025-03-26,Pending - DLC,0.601,0.929,0.058,,,18.039937,77.258505,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000042,FAM-413F1DF4,3858-2801-1422,Applicant_42,33,Male,Andhra Pradesh,Bastar,Village_76,Oraon,ST,True,4,0,0.94,Grazing,False,True,True,True,False,Medical Certificate Alternative,36,Daily Labor,34293,2025-08-17,Under Review,0.978,0.522,0.313,2025-09-28,Rejected,21.17161,79.954553,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000043,FAM-2A008162,1510-1996-8847,Applicant_43,50,Female,Chhattisgarh,Mandla,Village_92,Warli,ST,True,2,1,2.63,Agricultural,False,True,False,False,False,Medical Certificate Alternative,32,Daily Labor,89541,2025-05-15,Pending - Community Verification,0.802,0.715,0.317,,,17.915313,82.511268,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000044,FAM-37F21413,,Applicant_44,39,Female,Andhra Pradesh,Mandla,Village_52,Bhil,OTFD,False,5,2,2.83,Community Forest Resource,False,False,True,False,True,Complete,22,Handicrafts,32656,2025-06-26,Under Review,0.823,0.793,0.225,2025-07-21,Rejected,17.97785,78.596775,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000045,FAM-10DEDB17,7929-1842-5712,Applicant_45,63,Female,Andhra Pradesh,Rayagada,Village_74,Koya,OTFD,False,3,0,1.73,Water Bodies,False,True,True,False,False,Partial,45,Handicrafts,130776,2025-09-25,Pending - DLC,0.845,0.821,0.011,,,24.432674,84.78299,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000046,FAM-1BFF4739,5381-1474-3955,Applicant_46,42,Female,Andhra Pradesh,Ranchi,Village_1,Santhal,OTFD,False,2,0,3.09,Agricultural,False,True,True,False,False,Community Testimony,34,Livestock Rearing,40631,2025-06-10,Pending - Gram Sabha,0.911,0.784,0.034,,,17.420871,76.046329,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000047,FAM-CBFE43A9,1815-2336-5458,Applicant_47,53,Female,West Bengal,Gadchiroli,Village_57,Bhil,ST,True,4,3,0.89,Water Bodies,True,True,True,True,False,Community Testimony,39,Farming,21007,2025-04-10,Rejected - Multiple Claims,0.978,0.884,0.306,,,19.315577,75.559796,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000048,FAM-EE73C73F,9149-8055-3878,Applicant_48,33,Female,Gujarat,Bastar,Village_65,Koya,OTFD,False,2,1,3.52,Agricultural,True,True,True,False,False,Complete,47,Livestock Rearing,95465,2025-07-19,Rejected - Multiple Claims,0.762,0.82,0.116,,,20.240258,86.560596,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000049,FAM-DC917B37,3815-8538-6928,Applicant_49,30,Female,Chhattisgarh,Bastar,Village_56,Chenchu,ST,True,5,2,3.11,Habitation,False,True,True,False,False,Complete,36,Daily Labor,45415,2025-06-12,Under Review,0.695,0.573,0.079,2025-07-16,Approved,23.081722,82.521617,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000050,FAM-1A426750,3902-9095-8601,Applicant_50,61,Female,Rajasthan,Nandurbar,Village_82,Chenchu,OTFD,False,3,1,0.74,Grazing,False,True,False,False,False,Complete,31,Daily Labor,29724,2025-05-15,Pending - Community Verification,0.781,0.528,0.333,,,17.613848,85.23525,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000051,FAM-DB2AD6BC,2479-9307-7299,Applicant_51,54,Male,West Bengal,Gadchiroli,Village_84,Munda,OTFD,False,6,1,3.85,Grazing,False,True,False,False,False,Complete,36,Small Business,42617,2025-01-08,Pending - Community Verification,0.883,0.995,0.21,,,21.878443,78.730673,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000052,FAM-7999AE21,5634-7347-7697,Applicant_52,46,Male,Andhra Pradesh,Rayagada,Village_43,Gond,OTFD,False,4,2,3.03,Water Bodies,False,True,True,False,False,Partial,49,Livestock Rearing,60662,2025-07-05,Pending - DLC,0.884,0.542,0.224,,,22.147946,78.270195,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000053,FAM-7B7C28C4,3093-9624-2531,Applicant_53,66,Female,Gujarat,Ranchi,Village_3,Oraon,ST,True,4,3,1.17,Habitation,False,True,True,True,False,Complete,41,Livestock Rearing,134870,2025-03-20,Pending - SDLC,0.662,0.59,0.277,,,21.997924,85.734528,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000054,FAM-DC296F08,8170-1715-7731,Applicant_54,48,Male,West Bengal,Gadchiroli,Village_37,Dongria Kondh,ST,True,6,1,1.58,Grazing,False,True,False,False,False,Community Testimony,34,Livestock Rearing,121990,2025-07-17,Pending - Community Verification,0.811,0.983,0.327,,,23.410074,75.799181,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000055,FAM-E7EC73A1,5096-1854-8873,Applicant_55,48,Male,Gujarat,Rayagada,Village_37,Gond,OTFD,False,5,4,1.02,Grazing,False,True,True,False,False,Medical Certificate Alternative,49,Farming,74381,2025-01-13,Pending - DLC,0.75,0.693,0.033,,,18.79631,78.142903,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000056,FAM-B884E588,2623-6493-3392,Applicant_56,33,Male,Maharashtra,Mandla,Village_90,Santhal,OTFD,False,5,4,0.52,Agricultural,False,True,True,False,False,Partial,37,Small Business,99807,2025-09-14,Approved,0.91,0.619,0.049,2025-10-06,Approved with Conditions,22.111614,82.096537,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000057,FAM-0E1AB2A0,2029-2816-9189,Applicant_57,63,Male,Gujarat,Gadchiroli,Village_31,Dongria Kondh,ST,True,5,0,2.65,Habitation,True,True,False,False,False,Complete,36,Livestock Rearing,28870,2025-09-18,Rejected - Multiple Claims,0.803,0.994,0.222,,,20.12363,80.111756,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000058,FAM-DEBAA358,7338-7116-5155,Applicant_58,26,Female,Chhattisgarh,Ranchi,Village_31,Dongria Kondh,ST,True,8,5,0.97,Community Forest Resource,False,True,False,True,False,Community Testimony,40,Forest Produce Collection,126364,2025-03-03,Pending - SDLC,0.615,0.601,0.316,,,24.086323,78.102746,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000059,FAM-A8015681,6080-9444-7524,Applicant_59,59,Female,Maharashtra,Koraput,Village_97,Bonda,ST,True,4,0,3.53,Community Forest Resource,False,True,True,True,False,Community Testimony,43,Handicrafts,137261,2025-07-11,Under Review,0.798,0.749,0.37,2025-08-11,Approved with Conditions,23.409185,83.452057,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000060,FAM-EA2A4952,2293-8055-3956,Applicant_60,59,Female,Andhra Pradesh,Rayagada,Village_11,Oraon,OTFD,False,5,4,3.01,Habitation,True,True,True,False,False,Complete,43,Livestock Rearing,100589,2025-07-09,Rejected - Multiple Claims,0.856,0.896,0.023,,,22.369471,79.280733,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000061,FAM-8B5F5574,,Applicant_61,34,Female,Odisha,Kandhamal,Village_9,Munda,OTFD,False,4,3,3.82,Agricultural,False,False,True,False,False,Community Testimony,44,Farming,95225,2025-03-17,Pending - Document Verification,0.747,0.657,0.111,,,24.68416,74.336873,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000062,FAM-7F7CF04E,,Applicant_62,49,Male,Maharashtra,Dantewada,Village_91,Warli,OTFD,False,7,3,1.2,Habitation,False,False,True,False,False,Complete,45,Small Business,146820,2025-06-22,Pending - Document Verification,0.739,0.532,0.217,,,24.130653,85.067707,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000063,FAM-D85B7085,3852-6922-9335,Applicant_63,39,Male,Madhya Pradesh,Kandhamal,Village_31,Warli,ST,True,6,4,1.79,Water Bodies,False,True,True,True,False,Community Testimony,42,Small Business,82739,2025-09-14,Pending - SDLC,0.929,0.537,0.389,,,22.138709,79.849668,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000064,FAM-6FD46940,9476-6644-3102,Applicant_64,60,Male,Jharkhand,Khunti,Village_65,Kondh,ST,True,4,1,1.07,Habitation,False,True,True,True,False,Partial,40,Daily Labor,55972,2025-03-21,Pending - Gram Sabha,0.846,0.547,0.256,,,21.734468,81.548405,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000065,FAM-EC34C2A5,3804-6531-1674,Applicant_65,26,Male,Odisha,Nandurbar,Village_99,Chenchu,ST,True,8,6,2.66,Agricultural,True,True,False,True,False,Community Testimony,27,Small Business,73227,2025-05-15,Rejected - Multiple Claims,0.629,0.53,0.176,,,20.874009,76.652299,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000066,FAM-1883084A,3353-6121-6231,Applicant_66,47,Female,Jharkhand,Ranchi,Village_66,Koya,ST,True,3,1,0.93,Grazing,False,True,True,True,False,Medical Certificate Alternative,50,Handicrafts,133267,2025-07-08,Under Review,0.925,0.967,0.288,2025-07-29,Approved,20.986124,80.691423,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000067,FAM-7032FD6C,9171-6055-9148,Applicant_67,26,Male,Telangana,Dindori,Village_59,Munda,OTFD,False,2,0,1.48,Water Bodies,True,True,False,False,False,Complete,47,Farming,76482,2025-03-09,Rejected - Multiple Claims,0.891,0.882,0.146,,,20.204653,81.413661,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000068,FAM-08F47825,4189-6939-5728,Applicant_68,29,Female,Gujarat,Mandla,Village_98,Koya,ST,True,3,0,1.88,Community Forest Resource,False,True,True,False,False,Community Testimony,36,Farming,25938,2025-01-05,Pending - Gram Sabha,0.922,0.76,0.06,,,24.145054,75.817153,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000069,FAM-F59E28AC,6218-3662-7438,Applicant_69,64,Female,Rajasthan,Ranchi,Village_65,Koya,OTFD,False,5,0,1.79,Agricultural,True,True,False,False,False,Complete,39,Handicrafts,54803,2025-04-24,Rejected - Multiple Claims,0.621,0.74,0.21,,,22.769463,84.06988,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000070,FAM-6975D600,7229-3421-4968,Applicant_70,27,Male,Madhya Pradesh,Koraput,Village_57,Oraon,OTFD,False,7,1,1.94,Water Bodies,True,True,False,False,False,Partial,36,Forest Produce Collection,93516,2025-06-22,Rejected - Multiple Claims,0.791,0.688,0.383,,,20.677308,80.930652,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000071,FAM-1EE170ED,,Applicant_71,64,Female,Madhya Pradesh,Bastar,Village_36,Koya,OTFD,False,8,4,2.97,Grazing,False,False,True,False,False,Medical Certificate Alternative,23,Daily Labor,108686,2025-09-13,Pending - Document Verification,0.958,0.697,0.138,,,23.184515,75.90419,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000072,FAM-E6A27218,1689-5712-2294,Applicant_72,47,Female,Maharashtra,Mandla,Village_28,Munda,OTFD,False,6,5,1.45,Agricultural,False,True,True,False,False,Partial,40,Forest Produce Collection,26880,2025-02-14,Pending - Gram Sabha,0.887,0.55,0.308,,,17.041452,81.154583,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000073,FAM-98A97A64,3587-7666-8793,Applicant_73,55,Male,Maharashtra,Ranchi,Village_37,Bonda,ST,True,8,1,2.78,Habitation,False,True,True,True,False,Complete,46,Handicrafts,123279,2025-08-06,Pending - Gram Sabha,0.951,0.505,0.227,,,17.858406,86.778921,2025-09-06 05:09:25,2025-09-06 05:09:25
FRA-2025-000074,FAM-0737CA31,5662-8444-9901,Applicant_74,58,Female,Jharkhand,Dindori,Village_60,Ho,ST,True,2,1,1.07,Grazing,False,True,True,False,False,Medical Certificate Alternative,45,Livestock Rearing,94420,2025-04-06,Pending - DLC,0.942,0.949,0.331,,,21.122245,75.127591,2025-09-06 05:09:25,2025-09-06 05:09:25
